"name","rfid","equipment_type","asset_cost","rental_cost","location","purchased","notes"
"DRIEAZ HEPA 500-AIR SCRUBBER-SN#-02757-AS#-2757-JERSEY WHSE","8230 0000 0000 0000 0006 7716","Air Scrubber","$819.00","$0","","",""
"DRIEAZ HEPA 500-AIR SCRUBBER-SN#-02964-AS#-2964-Medford Warehouse","8230 0000 0000 0000 0006 7382","Air Scrubber","$819.00","$0","","",""
"DRIEAZ HEPA 500-AIR SCRUBBER-SN#-02978-AS#-2978-JERSEY WHSE","8230 0000 0000 0000 0006 7697","Air Scrubber","$819.00","$0","","",""
"DRIEAZ HEPA 500-AIR SCRUBBER-SN#-03084-AS#-3084-JERSEY WHSE","8230 0000 0000 0000 0006 7713","Air Scrubber","$819.00","$0","","",""
"DRIEAZ HEPA 500-AIR SCRUBBER-SN#-03100-AS#-3100-JERSEY WHSE","8230 0000 0000 0000 0006 7710","Air Scrubber","$819.00","$0","","",""
"DRIEAZ HEPA 500-AIR SCRUBBER-SN#-03101-AS#-3101-JERSEY WHSE","8230 0000 0000 0000 0006 7718","Air Scrubber","$819.00","$0","","",""
"DRIEAZ HEPA 500-AIR SCRUBBER-SN#-03111-AS#-3111-JERSEY WHSE","8230 0000 0000 0000 0006 7701","Air Scrubber","$819.00","$0","","",""
"DRIEAZ HEPA 500-AIR SCRUBBER-SN#-03736-AS#-3736-JERSEY WHSE","8230 0000 0000 0000 0006 7707","Air Scrubber","$819.00","$0","","",""
"DRIEAZ HEPA 500-AIR SCRUBBER-SN#-03740-AS#-3740-JERSEY WHSE","8230 0000 0000 0000 0006 7714","Air Scrubber","$819.00","$0","","",""
"DRIEAZ HEPA 500-AIR SCRUBBER-SN#-03947-AS#-B3020-QUEENS WHSE","8230 0000 0000 0000 0006 7883","Air Scrubber","$819.00","$0","","",""
"DRIEAZ HEPA 500-AIR SCRUBBER-SN#-03948-AS#-3948-JERSEY WHSE","8230 0000 0000 0000 0006 7703","Air Scrubber","$819.00","$0","","",""
"DRIEAZ HEPA 500-AIR SCRUBBER-SN#-03995-AS#-3995-JERSEY WHSE","8230 0000 0000 0000 0006 7711","Air Scrubber","$819.00","$0","","",""
"DRIEAZ HEPA 500-AIR SCRUBBER-SN#-04015-AS#-4015-QUEENS WHSE","8230 0000 0000 0000 0006 7880","Air Scrubber","$819.00","$0","","",""
"DRIEAZ HEPA 500-AIR SCRUBBER-SN#-04034-AS#-4034-Medford Warehouse","8230 0000 0000 0000 0006 6520","Air Scrubber","$819.00","$0","","",""
"DRIEAZ HEPA 500-AIR SCRUBBER-SN#-04162-AS#-4162-JERSEY WHSE","8230 0000 0000 0000 0006 7720","Air Scrubber","$819.00","$0","","",""
"DRIEAZ HEPA 500-AIR SCRUBBER-SN#-04187-AS#-4187-JERSEY WHSE","8230 0000 0000 0000 0006 7699","Air Scrubber","$819.00","$0","","",""
"DRIEAZ HEPA 500-AIR SCRUBBER-SN#-04194-AS#-4194-JERSEY WHSE","8230 0000 0000 0000 0006 7704","Air Scrubber","$819.00","$0","","",""
"DRIEAZ HEPA 500-AIR SCRUBBER-SN#-04225-AS#-4225-JERSEY WHSE","8230 0000 0000 0000 0006 7702","Air Scrubber","$819.00","$0","","",""
"DRIEAZ HEPA 500-AIR SCRUBBER-SN#-04324-AS#-4324-JERSEY WHSE","8230 0000 0000 0000 0006 7717","Air Scrubber","$819.00","$0","","",""
"DRIEAZ HEPA 500-AIR SCRUBBER-SN#-04335-AS#-4335-QUEENS WHSE","8230 0000 0000 0000 0006 7892","Air Scrubber","$819.00","$0","","",""
"DRIEAZ HEPA 500-AIR SCRUBBER-SN#-04380-AS#-4380-JERSEY WHSE","8230 0000 0000 0000 0006 7695","Air Scrubber","$819.00","$0","","",""
"DRIEAZ HEPA 500-AIR SCRUBBER-SN#-04450-AS#-4450-QUEENS WHSE","8230 0000 0000 0000 0006 7859","Air Scrubber","$819.00","$0","","",""
"DRIEAZ HEPA 500-AIR SCRUBBER-SN#-04466-AS#-4466-JERSEY WHSE","8230 0000 0000 0000 0006 7689","Air Scrubber","$819.00","$0","","",""
"DRIEAZ HEPA 500-AIR SCRUBBER-SN#-04482-AS#-4482-QUEENS WHSE","8230 0000 0000 0000 0006 7861","Air Scrubber","$819.00","$0","","",""
"DRIEAZ HEPA 500-AIR SCRUBBER-SN#-04506-AS#-4506-QUEENS WHSE","8230 0000 0000 0000 0006 7856","Air Scrubber","$819.00","$0","","",""
"DRIEAZ HEPA 500-AIR SCRUBBER-SN#-04529-AS#-4529-QUEENS WHSE","8230 0000 0000 0000 0006 7858","Air Scrubber","$819.00","$0","","",""
"DRIEAZ HEPA 500-AIR SCRUBBER-SN#-04534-AS#-4534-JERSEY WHSE","8230 0000 0000 0000 0006 7696","Air Scrubber","$819.00","$0","","",""
"DRIEAZ HEPA 500-AIR SCRUBBER-SN#-04534-AS#-4534-QUEENS WHSE","8230 0000 0000 0000 0006 7857","Air Scrubber","$819.00","$0","","",""
