zip_code,franchise_id,assigned
11930,3,
11931,3,
11932,3,
11933,3,
11934,3,
11935,3,
11937,3,
11939,3,
11940,3,
11941,3,
11942,3,
11944,3,
11946,3,
11947,3,
11949,3,
11950,3,
11951,3,
11952,3,
11953,3,
11954,3,
11955,3,
11956,3,
11957,3,
11958,3,
11959,3,
11960,3,
11961,3,
11962,3,
11963,3,
11964,3,
11965,3,
11967,3,
11968,3,
11970,3,
11971,3,
11972,3,
11975,3,
11976,3,
11977,3,
11978,3,
11001,3,FALSE
11002,3,FALSE
11003,3,FALSE
11010,3,FALSE
11020,3,FALSE
11021,3,FALSE
11022,3,FALSE
11023,3,FALSE
11024,3,FALSE
11026,3,FALSE
11027,3,FALSE
11030,3,FALSE
11040,3,FALSE
11042,3,FALSE
11050,3,FALSE
11051,3,FALSE
11052,3,FALSE
11053,3,FALSE
11054,3,FALSE
11055,3,FALSE
11096,3,FALSE
11501,3,FALSE
11507,3,FALSE
11509,3,FALSE
11510,3,FALSE
11514,3,FALSE
11516,3,FALSE
11518,3,FALSE
11520,3,FALSE
11530,3,FALSE
11531,3,FALSE
11535,3,FALSE
11542,3,FALSE
11545,3,FALSE
11547,3,FALSE
11548,3,FALSE
11549,3,FALSE
11550,3,FALSE
11551,3,FALSE
11552,3,FALSE
11553,3,FALSE
11554,3,FALSE
11555,3,FALSE
11556,3,FALSE
11557,3,FALSE
11558,3,FALSE
11559,3,FALSE
11560,3,FALSE
11561,3,FALSE
11563,3,FALSE
11565,3,FALSE
11566,3,FALSE
11568,3,FALSE
11569,3,FALSE
11570,3,FALSE
11571,3,FALSE
11572,3,FALSE
11576,3,FALSE
11577,3,FALSE
11579,3,FALSE
11580,3,FALSE
11581,3,FALSE
11582,3,FALSE
11590,3,FALSE
11594,3,FALSE
11596,3,FALSE
11597,3,FALSE
11598,3,FALSE
11599,3,FALSE
11709,3,FALSE
11710,3,FALSE
11714,3,FALSE
11732,3,FALSE
11735,3,FALSE
11736,3,FALSE
11737,3,FALSE
11753,3,FALSE
11756,3,FALSE
11758,3,FALSE
11762,3,FALSE
11765,3,FALSE
11771,3,FALSE
11773,3,FALSE
11774,3,FALSE
11783,3,FALSE
11791,3,FALSE
11793,3,FALSE
11797,3,FALSE
11801,3,FALSE
11802,3,FALSE
11803,3,FALSE
11804,3,FALSE
11815,3,FALSE
11819,3,FALSE
11853,3,FALSE
